Column1,Column2,Column3
1840.0,2.0e-6,0.0014667
1840.0,2.2e-6,0.0016829
1840.0,1.9e-6,0.0015885
1840.0,2.2e-6,0.0013732
1840.0,2.3e-6,0.0014044
1840.0,2.2e-6,0.0014027
1920.0,2.1e-6,0.0014808
1920.0,2.2e-6,0.0014656
1920.0,1.9e-6,0.0014546
1920.0,1.9e-6,0.0015763
1920.0,1.8e-6,0.0015174
1920.0,2.6e-6,0.0015123
1920.0,2.3e-6,0.0015136
1920.0,2.1e-6,0.0014678
1920.0,2.4e-6,0.0015435
1920.0,2.6e-6,0.0014566
2000.0,1.9e-6,0.001601
2000.0,2.0e-6,0.0015689
2000.0,2.4e-6,0.0015827
2000.0,2.5e-6,0.0015583
2000.0,2.5e-6,0.0015386
2000.0,2.5e-6,0.0015421
2000.0,2.3e-6,0.0015549
2000.0,2.4e-6,0.0015642
2000.0,2.4e-6,0.0015616
2000.0,2.1e-6,0.0015484
2080.0,2.1e-6,0.0016532
2080.0,2.1e-6,0.0016558
2080.0,2.4e-6,0.0016899
2080.0,2.2e-6,0.0018587
2080.0,2.4e-6,0.0017665
2080.0,2.3e-6,0.0017294
2080.0,2.4e-6,0.0017663
2080.0,2.4e-6,0.0020114
2080.0,2.3e-6,0.0018593
2080.0,2.3e-6,0.0018478
2160.0,2.1e-6,0.001942
2160.0,2.1e-6,0.0019764
2160.0,2.1e-6,0.0017219
2160.0,2.3e-6,0.0017351
2160.0,2.4e-6,0.0017481
2160.0,2.1e-6,0.0017294
2160.0,2.4e-6,0.0017294
2160.0,2.2e-6,0.0017557
2160.0,2.0e-6,0.0017304
2160.0,2.1e-6,0.0017388
2240.0,2.0e-6,0.0019013
2240.0,2.4e-6,0.0019234
2240.0,3.1e-6,0.0018874
2240.0,2.5e-6,0.0021413
2240.0,3.9e-6,0.0019741
2240.0,2.2e-6,0.0019566
2240.0,2.8e-6,0.0020351
2240.0,2.2e-6,0.0020191
2240.0,2.2e-6,0.0020156
2240.0,2.3e-6,0.0019977
2320.0,2.3e-6,0.0019934
2320.0,2.1e-6,0.0020116
2320.0,2.4e-6,0.0020297
2320.0,2.4e-6,0.0020001
2320.0,2.3e-6,0.0020217
2320.0,2.4e-6,0.0020052
2320.0,2.3e-6,0.0020916
2320.0,2.4e-6,0.0020288
2320.0,2.2e-6,0.0020043
2320.0,2.3e-6,0.0020104
2400.0,2.2e-6,0.0020666
2400.0,2.1e-6,0.0020689
2400.0,2.5e-6,0.002053
2400.0,2.1e-6,0.0020748
2400.0,2.2e-6,0.0020725
2400.0,2.1e-6,0.0021012
2400.0,2.4e-6,0.0021236
2400.0,3.0e-6,0.002054
2400.0,2.2e-6,0.0020607
2400.0,2.1e-6,0.002068
2480.0,2.1e-6,0.0022183
2480.0,2.5e-6,0.0022107
2480.0,2.3e-6,0.0022211
2480.0,2.3e-6,0.0023119
2480.0,2.2e-6,0.0022596
2480.0,2.4e-6,0.002398
2480.0,2.5e-6,0.0025116
2480.0,2.3e-6,0.0022725
2480.0,2.7e-6,0.0021781
2480.0,2.1e-6,0.0022186
2560.0,2.1e-6,0.0025047
2560.0,2.3e-6,0.0026611
2560.0,2.1e-6,0.0023362
2560.0,2.4e-6,0.0024831
2560.0,2.6e-6,0.0025887
2560.0,2.6e-6,0.0028925
2560.0,2.6e-6,0.0025919
2560.0,2.6e-6,0.0028498
2560.0,2.7e-6,0.0026048
2560.0,2.1e-6,0.0031371
2640.0,1.5e-6,0.0030284
2640.0,2.6e-6,0.0030111
2640.0,2.6e-6,0.0027308
2640.0,2.5e-6,0.0027343
2640.0,2.2e-6,0.0026455
2640.0,2.2e-6,0.0028527
2640.0,2.5e-6,0.0031197
2640.0,2.2e-6,0.0032248
2640.0,2.6e-6,0.0027744
2640.0,2.3e-6,0.0031163
2720.0,2.4e-6,0.0032095
2720.0,2.6e-6,0.0030162
2720.0,2.5e-6,0.0029971
2720.0,2.5e-6,0.0030214
2720.0,2.6e-6,0.0031095
2720.0,2.8e-6,0.0038337
2720.0,2.5e-6,0.0034159
2720.0,2.6e-6,0.0033563
2720.0,2.4e-6,0.0029367
2720.0,2.3e-6,0.0033512
2800.0,3.1e-6,0.0032817
2800.0,2.2e-6,0.0034009
